Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
0,0.0978594663777,0.91144,0.176486803166,0.9157
0,0.0846086683005,0.9317,0.175263150071,0.9343
0,0.0783195673742,0.9416,0.174833629235,0.9405
0,0.0735095053156,0.94778,0.173547521203,0.9473
0,0.0710679292588,0.95256,0.17304633441,0.9513
0,0.0669497970942,0.95712,0.168584999076,0.9563
0,0.0655278847658,0.95908,0.167142813556,0.9588
0,0.0640417636856,0.9619,0.165484154378,0.961
0,0.0607630976981,0.96418,0.161219685685,0.9619
0,0.0588936399211,0.96712,0.158591510211,0.9626
0,0.0569779641639,0.96808,0.154776463772,0.965
0,0.0559108796955,0.96938,0.152340574366,0.9643
0,0.0546657602821,0.9707,0.14953070111,0.966
0,0.052003802156,0.97374,0.14576200962,0.9675
0,0.0514850271928,0.9733,0.143568340322,0.9669
0,0.0496704283706,0.97542,0.139899884358,0.9687
0,0.0487540668507,0.9759,0.137577787093,0.9702
0,0.0471982432584,0.97726,0.134257892967,0.969
0,0.0465460771298,0.97742,0.132004664808,0.9693
0,0.0451916041551,0.97916,0.129298446128,0.9704
0,0.0440420353086,0.97996,0.126357635488,0.9708
0,0.0427034754416,0.9809,0.122814548982,0.9727
0,0.0410387056663,0.98166,0.11995487085,0.9729
0,0.0398620530749,0.98214,0.117361524284,0.9726
0,0.0394652287917,0.98254,0.115561670206,0.9721
0,0.0388828085879,0.98228,0.112818827304,0.9741
0,0.0370119062767,0.98346,0.110156887778,0.9736
0,0.036096240926,0.984,0.107510150024,0.9737
0,0.0354699116648,0.98482,0.105094535738,0.9743
0,0.0347926888332,0.9852,0.102844661314,0.9751
0,0.0333502945158,0.98652,0.100613036462,0.9755
0,0.0324393875089,0.98612,0.0980004110702,0.9759
0,0.031665773106,0.98644,0.0963562296191,0.9753
0,0.0316086587883,0.98672,0.0949114897688,0.976
0,0.0307549956756,0.98734,0.0926732728597,0.9757
0,0.0287811288347,0.98808,0.0894156247708,0.9774
0,0.0282848828916,0.98808,0.0875638288147,0.9782
0,0.0278415462763,0.98872,0.0857722594175,0.978
0,0.026468535887,0.98884,0.0835650980236,0.9785
0,0.0263169369819,0.98918,0.0821437725159,0.9779
0,0.0259791797337,0.9894,0.0802871111048,0.9771
0,0.0242988238364,0.99046,0.0778460159433,0.9791
0,0.0240301016568,0.99018,0.0762370452569,0.9787
