Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
0,0.0700961914465,0.91918,0.0661468678862,0.9252
1,0.0545932970373,0.93612,0.0536642699649,0.936
2,0.0446612570363,0.94836,0.0452837413792,0.9466
3,0.0386975204872,0.95572,0.040463838442,0.9531
4,0.0350148842598,0.96092,0.0378497637883,0.9576
5,0.030989040865,0.96558,0.0343613847086,0.9615
6,0.0282855888601,0.9696,0.0321795957996,0.963
7,0.0263446594954,0.9719,0.0314616545273,0.9649
8,0.0236634547583,0.97568,0.0292183574177,0.9665
9,0.0213699250406,0.97818,0.0278366424537,0.9677
10,0.0198660390665,0.98004,0.0268423007658,0.9691
11,0.0185882169235,0.98092,0.0261047989899,0.9694
12,0.0177341880512,0.98254,0.0258759009913,0.9695
13,0.0165199428633,0.9837,0.0251406842985,0.9702
14,0.0160655072104,0.98422,0.0252580176578,0.9716
15,0.0151683391636,0.98526,0.0248153136876,0.9713
16,0.0142417543109,0.98654,0.0239680257577,0.9724
17,0.0137367894714,0.987,0.0239443819082,0.9715
18,0.0128920634037,0.98788,0.0237595696987,0.9733
19,0.0122190332566,0.98842,0.0230281057958,0.9738
20,0.0120012273583,0.9885,0.0227498382069,0.974
21,0.0114909107929,0.9891,0.0230169703969,0.9739
22,0.0107784774832,0.98968,0.022428866088,0.9748
23,0.0104020540867,0.99006,0.0226222824507,0.9743
24,0.0102217137127,0.99024,0.0228466786899,0.9738
25,0.00974502052975,0.99104,0.0224682365469,0.974
26,0.00895141600593,0.99108,0.0217156990249,0.9755
27,0.00886564680814,0.99138,0.0221098834124,0.9748
28,0.0085478183529,0.99184,0.0218847929991,0.9752
29,0.00818264192262,0.99204,0.0214191472981,0.9759
30,0.00786490015535,0.99238,0.0217815887769,0.975
31,0.00773251105954,0.99254,0.0217158666454,0.9759
32,0.00724186249512,0.99268,0.0212802938905,0.9766
33,0.00757371935937,0.99262,0.021823432459,0.9765
34,0.00699879398938,0.99308,0.0214873937492,0.9767
35,0.00658478317259,0.9931,0.0213953198621,0.9767
36,0.00648794226138,0.99338,0.0213927252487,0.9766
37,0.00626957554417,0.9935,0.0213511097368,0.9757
38,0.00617239992642,0.99376,0.0210472024227,0.9769
39,0.00594765609511,0.99382,0.0213081471862,0.9764
40,0.00592858396163,0.99394,0.0214648747919,0.9767
41,0.00586152887908,0.994,0.0213959206719,0.9773
42,0.00561598461991,0.99408,0.0214354708441,0.9767
43,0.00534785141938,0.99414,0.0213204992904,0.9771
44,0.00526169867063,0.99418,0.0211764125195,0.9775
45,0.00515304161877,0.99442,0.021480806632,0.9766
46,0.00516931396272,0.9945,0.0215148109867,0.9771
47,0.00492691731782,0.99458,0.0214679615089,0.9766
48,0.00487282059982,0.99464,0.0213770441081,0.9767
49,0.00466749170601,0.99466,0.0212270455608,0.9769
50,0.00455952449968,0.9948,0.0211627946216,0.9769
51,0.00455076859272,0.99486,0.0213070315497,0.9761
52,0.00444924454057,0.99496,0.0215018280777,0.9771
53,0.00438424848372,0.995,0.0213966670425,0.9765
54,0.00425799734511,0.99502,0.0211812220615,0.9771
55,0.004172846038,0.99512,0.0211263799745,0.9773
56,0.00414998160928,0.9951,0.0211404948354,0.9766
57,0.00415747781767,0.99514,0.0212555955394,0.9767
58,0.00404106830013,0.99516,0.0214181139173,0.9761
59,0.00394763068081,0.9952,0.0211734809422,0.9765
60,0.00396310912691,0.99524,0.0212125822175,0.9766
61,0.0039256001343,0.99528,0.0212896036998,0.9774
62,0.00379268335613,0.99526,0.021355904231,0.9767
63,0.0037506935612,0.99532,0.0213232078256,0.976
64,0.00373408732486,0.99534,0.021318230392,0.977
65,0.00365448566287,0.99536,0.0212159041119,0.9765
66,0.00364069010167,0.99534,0.0212473656027,0.9773
67,0.00357056448413,0.99536,0.0212231607319,0.9767
68,0.00355829034205,0.9954,0.0213485865257,0.977
69,0.00350426427466,0.9954,0.0212662646479,0.9766
70,0.00347821858888,0.99546,0.0214463811559,0.9767
71,0.00344605326096,0.99544,0.0214923961956,0.9768
72,0.00340059677172,0.9955,0.0212503367992,0.9771
73,0.00336723962962,0.99548,0.0213585016642,0.9769
74,0.00336844141437,0.99548,0.0214676571197,0.9771
75,0.00334000794245,0.99548,0.0214259211771,0.9763
76,0.00329803504245,0.99554,0.0215109932424,0.9773
77,0.0032595555131,0.99556,0.0214091378119,0.9773
78,0.00325854733423,0.99558,0.0214204066585,0.9772
79,0.00321108170971,0.99558,0.0212794036769,0.9768
