Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
1,0.0971748134,0.913704,0.175421112,0.91878
2,0.0849657618,0.931708,0.1759363403,0.93416
3,0.0786025303,0.941652,0.175641331,0.94138
4,0.0744245079,0.947908,0.1743203131,0.94782
5,0.0708733892,0.95232,0.172568976,0.9513
6,0.0679348958,0.95628,0.1698130781,0.9545
7,0.0654657013,0.959504,0.1671993126,0.95746
8,0.0637330857,0.962384,0.1651659499,0.96016
9,0.0614130873,0.96454,0.162132582,0.96106
10,0.0599421086,0.966256,0.1592850164,0.9625
11,0.0580031027,0.967736,0.1564242718,0.9638
12,0.0563469042,0.96982,0.1531933334,0.96542
13,0.0547945251,0.971288,0.1501886162,0.9663
14,0.0532239658,0.972224,0.1471600806,0.96624
15,0.0512146272,0.973964,0.1434565469,0.96748
16,0.0498110925,0.975244,0.1404729646,0.96878
17,0.0490398956,0.975852,0.1380552367,0.9697
18,0.0477895885,0.9769,0.1351439472,0.96944
19,0.04674346,0.977252,0.1325432121,0.96964
20,0.0451934799,0.978416,0.1290596514,0.97076
21,0.043846862,0.979476,0.1260763423,0.97162
22,0.0431110245,0.979976,0.123663151,0.97166
23,0.0417218352,0.980604,0.1207820639,0.97214
24,0.040292009,0.981832,0.118012321,0.97284
25,0.0394218672,0.982248,0.1155270734,0.97292
26,0.0384122861,0.983084,0.1129928289,0.97384
27,0.0370505374,0.983596,0.1101445532,0.97396
28,0.0360288054,0.98428,0.1075665001,0.97444
29,0.0351305076,0.984872,0.1051393231,0.97502
30,0.0343756754,0.985504,0.1029413634,0.97526
31,0.0333820617,0.985988,0.1006886539,0.97532
32,0.0327436256,0.986112,0.0986213439,0.97528
33,0.0318404964,0.986596,0.0965411791,0.97584
34,0.0309623435,0.987172,0.094262285,0.97606
35,0.0301603278,0.987624,0.0920165469,0.976
36,0.0292530063,0.987964,0.089882839,0.97642
37,0.0281867201,0.988464,0.0875826529,0.97728
38,0.0273668633,0.988972,0.0856313654,0.97778
39,0.0265282484,0.98922,0.0835807604,0.97746
40,0.0260927829,0.989592,0.081981879,0.97732
41,0.0255710581,0.98976,0.0803198923,0.97726
42,0.0246586669,0.990216,0.078171713,0.9783
43,0.0238050186,0.990628,0.0762248963,0.9784
44,0.023162043,0.990872,0.0746730318,0.97834
45,0.0225073715,0.99128,0.0730158523,0.97834
46,0.0217930592,0.99164,0.0711718778,0.97898
47,0.0212331226,0.99192,0.0695985397,0.97866
48,0.0205435821,0.992396,0.0679203485,0.97916
49,0.0200366056,0.99244,0.0665872008,0.97906
50,0.0195897091,0.99272,0.0652608808,0.97882
51,0.019077997,0.992956,0.0636843738,0.97934
52,0.018340804,0.993348,0.0622973028,0.97926
53,0.0176918568,0.99358,0.0605711782,0.97982
54,0.0171538314,0.99382,0.0593135792,0.9795
55,0.016586966,0.994052,0.0578643188,0.97976
56,0.0164058167,0.993996,0.0568307139,0.98006
57,0.0157905845,0.994368,0.0554917757,0.9799
58,0.015247691,0.994508,0.0542078765,0.97986
59,0.0149726744,0.994544,0.0531504836,0.98054
60,0.0146565741,0.9947,0.0523226704,0.97936
61,0.0139883517,0.995024,0.0509022762,0.98014
62,0.0135236734,0.995188,0.0496917675,0.98036
63,0.0131661952,0.995372,0.0489119591,0.98026
64,0.0128411074,0.995424,0.0477527507,0.98044
65,0.012286242,0.995664,0.046687238,0.9804
66,0.0120672571,0.99574,0.0458802698,0.97998
67,0.0116506091,0.995812,0.0447500713,0.98024
68,0.0113400311,0.995844,0.0438139354,0.9805
69,0.0109026029,0.996016,0.042953641,0.98062
70,0.0107084564,0.996068,0.0421804717,0.98068
71,0.0101551862,0.996204,0.0410521652,0.98068
72,0.0100031419,0.996212,0.0403882439,0.98104
73,0.009665657,0.996344,0.0394920285,0.98094
74,0.0093754595,0.996436,0.0386572268,0.98102
75,0.0090003534,0.996588,0.0379217274,0.98106
76,0.0087581368,0.996648,0.0371878491,0.98114
77,0.0084985811,0.996704,0.0363685082,0.98138
78,0.0083284783,0.996688,0.036028344,0.981
79,0.0080400755,0.996828,0.0352540854,0.98122
80,0.0078058752,0.996848,0.0345817659,0.98094
81,0.0075859204,0.996872,0.0339383252,0.9816
82,0.0074028573,0.99698,0.0334687001,0.98122
83,0.0070698182,0.997016,0.0326570892,0.9813
84,0.006826555,0.99702,0.0322010305,0.98152
85,0.0066927488,0.997112,0.0317037846,0.98114
86,0.0064939305,0.997144,0.0312561637,0.9809
87,0.0062338221,0.997168,0.0306050805,0.98104
88,0.006109712,0.997184,0.0301401321,0.98112
89,0.0059375167,0.997256,0.0295433338,0.98148
90,0.0057481134,0.997264,0.0292172313,0.98132
91,0.0055903939,0.997324,0.0287640592,0.98126
92,0.0054575799,0.99734,0.0283710711,0.98148
93,0.0052828215,0.997384,0.0280180148,0.981
94,0.0051434741,0.997412,0.0276346068,0.98112
95,0.0049902675,0.997412,0.0271826865,0.98148
96,0.0048706204,0.997464,0.0268601904,0.9816
97,0.0046941865,0.997488,0.0263945972,0.9815
98,0.0046256223,0.997524,0.0262570469,0.9813
99,0.0044437587,0.997536,0.0258852058,0.98134
100,0.004356503,0.997556,0.0253775972,0.9816
101,0.0042348893,0.997588,0.0250790221,0.98142
102,0.0041187288,0.997592,0.0248213067,0.98182
103,0.0040880389,0.997608,0.0246525499,0.98164
104,0.0039035776,0.997644,0.0242195237,0.98156
105,0.0038626504,0.997644,0.0241188053,0.9815
106,0.0037390699,0.997656,0.0237524731,0.98164
107,0.00363034,0.997696,0.0235371103,0.98156
108,0.0035700297,0.997712,0.023365301,0.98152
109,0.0034732401,0.997748,0.0230645128,0.98168
110,0.0033924065,0.99778,0.0228961296,0.9814
111,0.003295707,0.99778,0.0226068253,0.98148
112,0.0032315982,0.997808,0.0224661471,0.9816
113,0.0031594765,0.997804,0.0223098854,0.98156
114,0.0030899558,0.99782,0.022147829,0.98154
115,0.0030109951,0.997836,0.0218747462,0.98164
116,0.0029578541,0.997844,0.02169663,0.98178
117,0.0028919656,0.997852,0.0214931349,0.98174
118,0.0028169579,0.997864,0.0214233554,0.98146
119,0.002770902,0.99788,0.0212682409,0.98136
120,0.0027128892,0.99788,0.0210681637,0.98166
121,0.0026528733,0.9979,0.0209453719,0.98168
122,0.0026120273,0.99792,0.0208096067,0.98156
123,0.0025629157,0.997908,0.0207782756,0.9814
124,0.002539695,0.99792,0.0205810302,0.9815
125,0.0024671361,0.997916,0.0204230727,0.98128
126,0.0024224029,0.997928,0.0203440345,0.98176
127,0.0023932215,0.997948,0.020258007,0.98182
128,0.0023400991,0.997968,0.020174057,0.98142
129,0.0022977849,0.997968,0.0200443143,0.9816
130,0.0022738034,0.997984,0.0200398101,0.98162
131,0.0022261783,0.997992,0.0199109645,0.98162
132,0.0021882319,0.998024,0.0197425976,0.98164
133,0.0021555405,0.998028,0.0196888964,0.98168
134,0.0021272085,0.998032,0.0196919448,0.98152
135,0.0020889538,0.998032,0.0196001618,0.98166
136,0.0020683213,0.998044,0.0195392383,0.98172
137,0.0020416386,0.998044,0.0195045937,0.98158
138,0.0020079968,0.998064,0.0193931959,0.98136
139,0.00197776,0.998064,0.0193119445,0.98144
140,0.0019443816,0.998092,0.0192240854,0.98156
141,0.0019138019,0.99808,0.0191846309,0.98148
142,0.0019120673,0.998108,0.0192109079,0.9816
