Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
1,0.0965007742,0.914284,0.1746183475,0.91984
2,0.0883851119,0.927912,0.1791302829,0.93184
3,0.0823673673,0.938164,0.1837951596,0.93924
4,0.0797526806,0.94438,0.1878246588,0.94446
5,0.0763748384,0.95026,0.1892061729,0.94966
6,0.0748444673,0.953812,0.1912397629,0.95248
7,0.0739342806,0.956508,0.1931175331,0.95482
8,0.0723179288,0.959148,0.1933674405,0.9578
9,0.072054058,0.960052,0.1949646014,0.95828
10,0.0721339346,0.960464,0.1961817117,0.95812
11,0.0710305701,0.962276,0.1963841097,0.95952
12,0.0708735025,0.963236,0.1967858414,0.9609
13,0.0696002866,0.964976,0.1962638615,0.96248
14,0.0691360905,0.965524,0.1963638435,0.96316
15,0.0699672273,0.965732,0.1979037265,0.96222
16,0.0703400471,0.964908,0.1985407484,0.96124
17,0.0684197482,0.9678,0.1971551828,0.96412
18,0.0687253606,0.967256,0.1976783187,0.96362
19,0.0681083001,0.967868,0.1972578681,0.96424
20,0.0675145152,0.968836,0.1966244572,0.96578
21,0.0677942216,0.968244,0.1971737288,0.96442
22,0.0675164385,0.968932,0.1969719962,0.96516
23,0.0667610149,0.969656,0.1961978855,0.96644
24,0.0675847458,0.969104,0.1970543047,0.96512
25,0.0672041485,0.969304,0.1967667065,0.96558
26,0.0679952638,0.96904,0.1977005145,0.96478
27,0.0662047687,0.97044,0.1958415372,0.96654
28,0.0666181913,0.970216,0.1963106909,0.96672
29,0.066409006,0.970508,0.1962389074,0.9662
30,0.0665818863,0.970528,0.1962738538,0.96672
31,0.0669158232,0.9696,0.1964691931,0.96542
32,0.065758848,0.971484,0.1952130103,0.96734
33,0.0657850463,0.971248,0.1953842573,0.96724
34,0.0654377719,0.971484,0.1947230902,0.9674
35,0.0661273913,0.970816,0.1954484795,0.96672
36,0.0658938218,0.971584,0.1953685232,0.96688
37,0.0659030974,0.970704,0.1952975507,0.96582
38,0.0658258493,0.971892,0.1952164114,0.96768
39,0.0649220533,0.972156,0.1939401825,0.9678
40,0.0650265894,0.971884,0.1940463431,0.96762
41,0.0646905307,0.97216,0.1938100084,0.96752
42,0.0643583625,0.97332,0.1934683398,0.96842
43,0.0650433319,0.972256,0.1938001553,0.96798
44,0.0644512138,0.97262,0.193068088,0.96836
45,0.0644308129,0.973136,0.1928842937,0.96828
46,0.0640124324,0.973188,0.1924880797,0.9686
47,0.0637845129,0.973284,0.1922395259,0.96904
48,0.0639857092,0.972852,0.1921341205,0.9684
49,0.0637859539,0.97324,0.1919248577,0.96912
50,0.0639024968,0.97294,0.1918459483,0.96896
51,0.0630198196,0.973932,0.1908201096,0.96902
52,0.0631785712,0.97378,0.1909430905,0.96878
53,0.0633412346,0.973544,0.190971448,0.96874
54,0.0634628234,0.973248,0.1910039624,0.96922
55,0.0632949542,0.973652,0.1908335753,0.9686
56,0.0627305964,0.974316,0.1900547017,0.96948
57,0.0630699945,0.97404,0.1903348866,0.96888
58,0.0629934736,0.974144,0.1901862444,0.96906
59,0.0626353419,0.974356,0.1897021529,0.96864
60,0.0628026434,0.974364,0.1898299108,0.9689
61,0.0622439728,0.974444,0.189001962,0.9692
62,0.0622735043,0.974452,0.1889152175,0.96964
63,0.0638405289,0.97304,0.1900182294,0.96822
64,0.0621562517,0.97426,0.1884993368,0.96898
65,0.0617817606,0.975184,0.1881125259,0.97002
66,0.0614909143,0.975388,0.1875905684,0.9703
67,0.0620222983,0.974704,0.1879864591,0.96978
68,0.0617412617,0.975312,0.1877710642,0.96942
69,0.0616578432,0.975216,0.1874320805,0.96976
70,0.0612349272,0.975544,0.1867613525,0.97022
71,0.061202738,0.975488,0.186679511,0.96998
72,0.0616964823,0.975292,0.1871454063,0.9695
73,0.0613995982,0.975076,0.1866369641,0.96992
74,0.0613421584,0.975508,0.1864613406,0.97004
75,0.061004181,0.975532,0.1857219673,0.9699
76,0.0612876719,0.975056,0.1858432134,0.96974
77,0.0610240461,0.975368,0.1856900041,0.97002
78,0.0606825851,0.976076,0.1852973308,0.9699
79,0.0606342928,0.976068,0.1850171789,0.9702
80,0.0603374021,0.976272,0.1844981168,0.97058
81,0.0601705012,0.976556,0.1841199807,0.9711
82,0.0602094621,0.976004,0.1841614292,0.97014
83,0.0604196878,0.975956,0.1841655414,0.9701
84,0.0599898306,0.976504,0.1835922947,0.9703
85,0.0600262033,0.976632,0.1836516369,0.97072
86,0.0599577314,0.976444,0.1834705567,0.97014
87,0.0598489161,0.976316,0.1830496221,0.97056
88,0.0593546926,0.9766,0.1824689254,0.97026
89,0.0595239031,0.97656,0.1822846627,0.97098
90,0.0591473786,0.977052,0.1818898902,0.9709
91,0.059068832,0.976948,0.1816999194,0.97098
92,0.0589730723,0.976672,0.1814805164,0.97104
93,0.0589029348,0.977032,0.1813665539,0.9708
94,0.0594182531,0.976512,0.1816504238,0.9703
95,0.0591361155,0.976644,0.1812321041,0.97046
96,0.0591088362,0.976412,0.1809723299,0.97026
97,0.0588378324,0.977152,0.1803876796,0.9706
98,0.0584196275,0.977196,0.1801748956,0.97066
99,0.0580346014,0.977708,0.1796056602,0.97162
100,0.0580498755,0.977516,0.1792598969,0.97134
101,0.058546198,0.977176,0.17968126,0.97062
102,0.0579206358,0.977656,0.1789092742,0.97184
103,0.0577978214,0.977704,0.1786407084,0.97158
104,0.0580933786,0.977372,0.1787616379,0.97118
105,0.057859013,0.9776,0.1783174078,0.97064
106,0.0579280057,0.977612,0.1782887736,0.97136
107,0.0580886929,0.977384,0.1783531583,0.97064
108,0.0586745114,0.976964,0.1786840599,0.97066
109,0.0582600616,0.977264,0.1781689382,0.9714
110,0.0572911928,0.978256,0.1770243077,0.97164
111,0.0570043036,0.978276,0.1765866914,0.97182
112,0.0566922574,0.978544,0.1762896349,0.97192
113,0.0569093144,0.978652,0.1761489643,0.97158
114,0.0566932478,0.97842,0.1759260008,0.9718
115,0.0567079009,0.978716,0.1756802332,0.97222
116,0.0561304966,0.979208,0.175026494,0.97202
117,0.0568551228,0.978196,0.1755071058,0.9716
118,0.0565817932,0.978724,0.1753700927,0.97134
119,0.056736523,0.978316,0.1750519173,0.97112
120,0.0563226019,0.97872,0.1744438218,0.97194
121,0.0561050311,0.978788,0.1740971084,0.97132
122,0.0559750785,0.978812,0.1736808919,0.97224
123,0.055729091,0.979,0.1734386334,0.97196
124,0.055824597,0.979108,0.1733189436,0.97236
125,0.055404613,0.979572,0.172846739,0.9722
126,0.0558625776,0.97888,0.1731920032,0.97204
127,0.0551506186,0.97954,0.172202422,0.9726
128,0.0555526702,0.978848,0.1723872832,0.97202
129,0.055190215,0.979668,0.1720403613,0.97246
130,0.0550387856,0.979392,0.171597539,0.97236
131,0.0546328281,0.979708,0.17100193,0.97252
132,0.0547241411,0.97972,0.1709049236,0.97308
133,0.0550361679,0.979692,0.1712782502,0.9722
134,0.0546741833,0.979304,0.170495768,0.973
135,0.0545997347,0.979928,0.1702690022,0.97274
136,0.0542278556,0.979904,0.1697069462,0.97252
137,0.0546821935,0.979512,0.1700063441,0.9721
138,0.0544104561,0.979472,0.1693887139,0.97278
139,0.0541411851,0.98024,0.1691580684,0.97282
140,0.054252617,0.979748,0.1691625546,0.97222
141,0.0537168051,0.980436,0.1683099246,0.97294
142,0.0538468505,0.980012,0.1683757259,0.97296
