Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
1,0.0967090388,0.914144,0.1746952017,0.91858
2,0.086375007,0.931216,0.1811282381,0.93266
3,0.0817281982,0.94046,0.185419616,0.94116
4,0.0781159142,0.947264,0.1879898205,0.94666
5,0.076332679,0.951112,0.1904920225,0.95086
6,0.0750874167,0.954444,0.19263223,0.95362
7,0.0741102004,0.956784,0.1947207129,0.95482
8,0.0740221342,0.957564,0.1967401369,0.95612
9,0.0728028168,0.959704,0.1970956868,0.95812
10,0.0721455137,0.961584,0.1977704507,0.95988
11,0.0717278623,0.962768,0.19882827,0.95998
12,0.071190441,0.962948,0.1992767926,0.9604
13,0.0709391654,0.964508,0.199931163,0.96154
14,0.070310835,0.965344,0.1998753811,0.96206
15,0.0701606787,0.965664,0.2002913893,0.96272
16,0.0698531518,0.966344,0.2005827932,0.96342
17,0.0704367388,0.9658,0.201748656,0.96254
18,0.0698872455,0.966508,0.2013875659,0.96298
19,0.070004524,0.96696,0.2019129049,0.96318
20,0.0699166137,0.96752,0.20180249,0.96476
21,0.0693143076,0.96782,0.2017106521,0.96404
22,0.0688871206,0.968496,0.2014035045,0.96514
23,0.0694258228,0.967764,0.2022299924,0.96472
24,0.0693046619,0.968548,0.2023587805,0.96494
25,0.0695205527,0.968016,0.2029379812,0.96408
26,0.0683884586,0.969256,0.201720268,0.96604
27,0.0690228484,0.96866,0.2024421494,0.9655
28,0.0684292316,0.96958,0.2019343171,0.9661
29,0.0696144345,0.96816,0.2035156306,0.96458
30,0.0687048376,0.969916,0.2026970964,0.96614
31,0.0684697521,0.969292,0.2023329301,0.96564
32,0.0684417693,0.969728,0.2024581549,0.96592
33,0.0685087387,0.969656,0.2025057339,0.96654
34,0.0682165065,0.970564,0.2024905393,0.96656
35,0.0688906016,0.969452,0.2028624262,0.96586
36,0.0679426465,0.970496,0.2021759354,0.96678
37,0.068085183,0.970584,0.2022362852,0.96688
38,0.0681954279,0.97052,0.202403405,0.96672
39,0.0681469451,0.970416,0.2023994337,0.96674
40,0.0683647216,0.970408,0.2028920059,0.96668
41,0.0682205754,0.970968,0.2027531669,0.9667
42,0.067548836,0.971076,0.2022479038,0.96706
43,0.0678863645,0.971096,0.20244072,0.96704
44,0.0687324473,0.970112,0.2033429294,0.9662
45,0.0679377097,0.970544,0.2027175435,0.96614
46,0.0683349377,0.970564,0.2028350727,0.9667
47,0.0681147719,0.970328,0.202896037,0.96682
48,0.0673218185,0.971476,0.202065357,0.96706
49,0.0676692055,0.97092,0.2025097635,0.96664
50,0.0679844942,0.97086,0.2031430131,0.96654
51,0.0678631238,0.97132,0.2025172019,0.96748
52,0.0679040282,0.970804,0.2029411072,0.96678
53,0.0675942692,0.971412,0.2024861564,0.96702
54,0.0693533034,0.969932,0.2041690297,0.966
55,0.0675192518,0.971652,0.2025717135,0.96788
56,0.0678131543,0.971736,0.20269647,0.96816
57,0.0678964026,0.97138,0.2028886675,0.9676
58,0.0677514163,0.971064,0.2027911097,0.96768
59,0.0683218342,0.9711,0.2033119817,0.96732
60,0.0672401112,0.97168,0.2022390685,0.96802
61,0.0677990218,0.971524,0.2028427768,0.96686
62,0.0676769637,0.971676,0.2027688663,0.96772
63,0.0681192836,0.970884,0.2034121768,0.96718
64,0.0680682363,0.9714,0.2033815838,0.967
65,0.06741542,0.97186,0.2026599995,0.96726
66,0.0678465232,0.971384,0.2031593524,0.96754
67,0.0676453811,0.971952,0.2026642772,0.968
68,0.0679722523,0.97116,0.2031649459,0.96688
69,0.0679561473,0.97126,0.2032567038,0.9669
70,0.0675704624,0.971464,0.202601406,0.96782
71,0.0678403762,0.971548,0.2030360312,0.96712
72,0.0673777373,0.971908,0.2027583529,0.96732
73,0.0675269898,0.971896,0.2030067935,0.96692
74,0.0668855539,0.972248,0.2022714786,0.96806
75,0.0675097059,0.972032,0.2028010041,0.96764
76,0.0674024736,0.971856,0.2030040734,0.96786
77,0.067897722,0.971236,0.2033046218,0.96754
78,0.0671010358,0.9718,0.2025604639,0.96764
79,0.0678266352,0.97144,0.203237851,0.96708
80,0.0673222171,0.972132,0.2025030372,0.96856
81,0.0678415423,0.971496,0.2033187894,0.9675
82,0.0671637191,0.972224,0.2023324081,0.96824
83,0.0678269531,0.971972,0.2034722905,0.96748
84,0.068798759,0.970804,0.2041145989,0.96742
85,0.0680241738,0.971188,0.2034645498,0.96736
86,0.0676781632,0.971716,0.202901866,0.96728
87,0.0672585152,0.971984,0.2026537982,0.9675
88,0.0679190724,0.971504,0.2032466025,0.9673
89,0.06763762,0.971572,0.2032369007,0.96752
90,0.0679070466,0.971316,0.2031794506,0.9674
91,0.0681415243,0.971228,0.203482842,0.96772
92,0.0684883009,0.971056,0.2040239525,0.96718
93,0.0674894181,0.971736,0.2028528363,0.96772
94,0.0675305835,0.97204,0.2029334667,0.9677
95,0.0671791874,0.97198,0.2028602575,0.9674
96,0.0676169807,0.971664,0.2031302919,0.96686
97,0.0671929077,0.97238,0.2029431271,0.96804
98,0.0676332929,0.971856,0.2032411464,0.96744
99,0.0677332053,0.971928,0.2032865727,0.96704
100,0.0679054828,0.971576,0.2034648179,0.96776
101,0.0666050613,0.97306,0.2023041414,0.96874
102,0.0671647446,0.972492,0.2028317904,0.96784
103,0.0672236394,0.972364,0.203102025,0.9682
104,0.067345668,0.972048,0.2029358471,0.96816
105,0.067021192,0.972112,0.2026048664,0.9684
106,0.06740757,0.972088,0.2030015406,0.96796
107,0.0670099231,0.972692,0.2026761554,0.96808
108,0.0671138444,0.972676,0.2027939384,0.96844
109,0.0671245539,0.972464,0.2028997901,0.96806
110,0.0670872753,0.972368,0.2025833631,0.96802
111,0.0670561278,0.972096,0.2026429254,0.96776
112,0.0669944862,0.972556,0.2028117371,0.96814
113,0.0672294777,0.972076,0.2029686854,0.96766
114,0.0673991117,0.971768,0.2030552117,0.96816
115,0.0677141787,0.972088,0.2034565669,0.9679
116,0.0671627345,0.972528,0.2028442747,0.96788
117,0.0675415292,0.97202,0.2031024285,0.96762
118,0.0671915386,0.97238,0.2031172358,0.96834
119,0.067841636,0.971916,0.2035816833,0.967
120,0.0676388495,0.97198,0.2031962495,0.96814
121,0.0675449682,0.97202,0.2031153351,0.9679
122,0.0670857783,0.972188,0.2028621494,0.96806
123,0.0676513126,0.971824,0.2032862042,0.96696
124,0.0672670442,0.972064,0.2027850532,0.9677
125,0.0676181599,0.971912,0.2033432609,0.96816
126,0.0668665206,0.972492,0.2025405045,0.96862
127,0.0671600093,0.972456,0.202867399,0.96746
128,0.0670038659,0.972832,0.2028080214,0.96818
129,0.0669106573,0.972652,0.20279487,0.9678
130,0.0678778939,0.972048,0.2034402857,0.9678
131,0.0680831155,0.971664,0.2041254161,0.96784
132,0.0670211679,0.972652,0.2027974115,0.9679
133,0.0671970343,0.972012,0.2029635881,0.96828
134,0.0672141289,0.972192,0.2029785928,0.96794
135,0.0677285061,0.9718,0.2034312897,0.96758
136,0.0676398351,0.971652,0.2033997783,0.96718
137,0.0674007632,0.971908,0.2031075217,0.96842
138,0.0672459493,0.972656,0.2031142945,0.96862
139,0.0681816677,0.971636,0.2038539121,0.9675
140,0.0671206355,0.972556,0.2031121396,0.96802
141,0.06820191,0.971452,0.2039920913,0.9669
142,0.0684446586,0.971252,0.2041241058,0.96636
143,0.0670445525,0.972904,0.2028357901,0.96852
144,0.0678298638,0.971724,0.2037133624,0.96794
145,0.0671752148,0.972708,0.2028958151,0.96814
146,0.0673098969,0.972192,0.2029565875,0.96782
147,0.0668170132,0.97268,0.2027252925,0.96902
148,0.0675347492,0.971984,0.2034568553,0.96788
149,0.0672154068,0.972484,0.2030615686,0.96792
150,0.0669835072,0.972856,0.2027126057,0.96896
151,0.066777868,0.973,0.2025101919,0.96888
152,0.0673219246,0.97218,0.2032292415,0.96806
153,0.0670706885,0.972164,0.2030277399,0.96814
154,0.0673746303,0.97224,0.2031433969,0.9679
155,0.0669594129,0.973068,0.2028137594,0.96872
156,0.0675447416,0.972136,0.2033109121,0.96776
157,0.0669916142,0.972744,0.2029431955,0.9685
158,0.0673244541,0.9723,0.203088338,0.96842
159,0.0670552918,0.9725,0.2030352684,0.9686
160,0.0673991862,0.972232,0.2032944414,0.96804
161,0.0672234557,0.972192,0.2031113427,0.96786
162,0.0674536722,0.972316,0.203399878,0.96898
163,0.0675046844,0.972064,0.2031634969,0.9681
164,0.0668701615,0.972208,0.2025509266,0.96876
165,0.0666861671,0.972552,0.202611302,0.96854
166,0.0672578844,0.972228,0.203246698,0.96802
167,0.0667575214,0.972712,0.2027120568,0.968
168,0.0674386094,0.972292,0.2035305679,0.9681
169,0.0669789536,0.973268,0.203058807,0.9686
170,0.0673174556,0.972272,0.2031998417,0.96754
171,0.0676948033,0.972016,0.2034706489,0.96798
172,0.0673591782,0.972388,0.203407706,0.96826
173,0.0668420202,0.972692,0.2027703048,0.96882
174,0.0669279356,0.973004,0.2028023005,0.96858
175,0.0668003401,0.972748,0.2026685444,0.96902
176,0.0667646914,0.972772,0.2027547294,0.96858
177,0.0670614392,0.972772,0.202895466,0.9684
178,0.0671226407,0.972516,0.2028335076,0.96862
179,0.0671908179,0.97258,0.2031605204,0.96862
180,0.0671167035,0.972336,0.202836655,0.96792
181,0.0668692729,0.973028,0.2027789637,0.96806
182,0.0666721054,0.973004,0.2025836304,0.96876
183,0.0668282905,0.972844,0.202761565,0.96842
184,0.0672160313,0.97294,0.203297771,0.96838
185,0.0673224978,0.972564,0.2033100191,0.9678
186,0.0666088505,0.973084,0.2025394248,0.96884
187,0.0668080313,0.97298,0.2026966635,0.96902
188,0.0671871362,0.972624,0.2031293868,0.96872
189,0.0668917148,0.972564,0.202982745,0.9679
190,0.0674795639,0.97276,0.2033136287,0.96872
191,0.0670201579,0.972564,0.2029437336,0.96846
192,0.0673478445,0.97234,0.2033340989,0.96774
193,0.0668490682,0.973064,0.2029215972,0.96854
194,0.0671648419,0.972436,0.203298209,0.96796
195,0.0675415189,0.972272,0.203674576,0.96754
196,0.067369018,0.972432,0.2033230207,0.96798
197,0.0668770933,0.972636,0.2028333063,0.96814
198,0.0668820298,0.972572,0.2030109209,0.9682
199,0.0667891141,0.972692,0.2030181437,0.96798
200,0.067292832,0.972556,0.2032603495,0.96804
201,0.0678166031,0.97232,0.2038057144,0.96788
202,0.0670423146,0.972728,0.2030521403,0.96772
203,0.0670587607,0.972784,0.2031419297,0.96836
204,0.0671002741,0.97256,0.2029644994,0.96814
205,0.0673013086,0.972352,0.2032639218,0.96804
206,0.0671834406,0.972428,0.2032332345,0.9684
207,0.0664288868,0.973552,0.2024299341,0.96918
208,0.067585642,0.9726,0.2034078097,0.96846
209,0.0668781634,0.972988,0.2030124041,0.96862
210,0.0670922333,0.972448,0.2031511791,0.96848
211,0.0671541649,0.972244,0.2031950522,0.96804
212,0.0675053607,0.972304,0.2035616951,0.96792
213,0.0674117868,0.9724,0.2033138828,0.9681
214,0.0673757943,0.972784,0.203496533,0.9685
215,0.0670620707,0.972732,0.2030696091,0.96892
216,0.0670657873,0.97262,0.2031299262,0.96832
217,0.0671236562,0.972956,0.203263386,0.96874
218,0.0667538233,0.972928,0.2027937493,0.96894
219,0.0674641467,0.972328,0.2036085638,0.96746
220,0.0666611661,0.97304,0.2025380154,0.96908
221,0.0667624582,0.973168,0.2028391494,0.96816
222,0.0671124747,0.97262,0.2031473815,0.96844
223,0.0666305614,0.973108,0.2028338502,0.969
224,0.0668137124,0.97314,0.2030816339,0.96874
225,0.0673099993,0.972336,0.2033969672,0.9674
226,0.066705405,0.973024,0.2028032738,0.96894
227,0.0665260679,0.97304,0.2026279561,0.96886
228,0.0675127714,0.971936,0.2036485631,0.96776
229,0.0666972466,0.97306,0.2028025904,0.96856
