Epoch,Training Cost,Training Accuracy,Evaluation Cost,Evaluation Accuracy
1,0.0712422294,0.91764,0.0674724936,0.92226
2,0.0544177472,0.937296,0.0530936511,0.93796
3,0.0456156409,0.947808,0.0460859863,0.94662
4,0.0389276207,0.956168,0.0405353897,0.95362
5,0.0339059381,0.962468,0.0367613812,0.95806
6,0.0301378143,0.967228,0.0339132708,0.9615
7,0.0275917821,0.970676,0.0320004736,0.96346
8,0.0250284183,0.973812,0.0301018355,0.96628
9,0.0228571738,0.976588,0.0286995596,0.96788
10,0.0213038582,0.9783,0.0278901006,0.9684
11,0.0201205864,0.979964,0.0272619885,0.96962
12,0.0186239578,0.981528,0.0264124848,0.97008
13,0.0172345154,0.983144,0.0253009423,0.97142
14,0.0164291183,0.98406,0.0250913217,0.97174
15,0.0158537093,0.984668,0.0251960522,0.97172
16,0.014535687,0.985852,0.0241578886,0.97272
17,0.0140677548,0.986584,0.0238446977,0.9735
18,0.0133762208,0.987264,0.0237121892,0.97338
19,0.012680447,0.987944,0.0235016741,0.9741
20,0.0119496772,0.988604,0.0230134717,0.97472
21,0.0115973505,0.988936,0.0230564395,0.97464
22,0.0111228942,0.989396,0.0228549085,0.97534
23,0.0105972008,0.989964,0.0226869462,0.97516
24,0.0099878593,0.990376,0.0224883274,0.97516
25,0.0097278819,0.990692,0.0224043408,0.97532
26,0.0093331746,0.991052,0.0221418521,0.97552
27,0.0089071664,0.991308,0.022053066,0.97612
28,0.0084805114,0.991652,0.0218481432,0.9761
29,0.0083375221,0.991948,0.0219186904,0.97634
30,0.0078687148,0.992268,0.0215976306,0.9766
31,0.0077219091,0.99252,0.0218582526,0.97598
32,0.0074412266,0.992668,0.0216910788,0.97612
33,0.0071415297,0.99294,0.0214636842,0.9768
34,0.0070186184,0.992952,0.021594971,0.97646
35,0.0067360761,0.993256,0.0214332313,0.97712
36,0.0065558415,0.993412,0.0215761408,0.97704
37,0.0063180911,0.993516,0.0213849202,0.9769
38,0.0062098547,0.993644,0.021468193,0.97652
39,0.0060429507,0.993832,0.0213410296,0.97704
40,0.0058982618,0.993924,0.0213747455,0.97678
41,0.0057739157,0.994088,0.021328417,0.97664
42,0.0055732826,0.994192,0.0212915137,0.97732
43,0.0054026939,0.9943,0.0213442937,0.97696
44,0.005234014,0.994332,0.0212009651,0.97708
45,0.0051330796,0.994408,0.0211341218,0.97752
46,0.0050415478,0.99458,0.0211684186,0.97704
47,0.0049728209,0.994608,0.0213485298,0.97702
48,0.004841159,0.994692,0.0213506621,0.97678
49,0.0047137635,0.994752,0.0212446213,0.97716
50,0.0046149755,0.994808,0.0212362313,0.97722
51,0.0045296775,0.994872,0.0211944574,0.97716
52,0.0044519788,0.994912,0.021203378,0.97708
53,0.0043827023,0.99498,0.0213051379,0.97728
54,0.0042942784,0.995052,0.0212376534,0.9771
55,0.0042571672,0.99506,0.0212517456,0.97728
56,0.0041462438,0.995128,0.0212601556,0.97732
